PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Pressure,Month,Hour,City,Industrial_Area,Traffic_Density,AQI
25.3,45.2,32.1,12.4,2.1,78.5,22.5,65.2,8.3,1015.2,6.0,14.0,0,0.0,3.0,85.0
18.7,25.0,28.6,9.8,1.8,65.4,19.8,58.7,12.1,1018.5,3.0,9.0,1,1.0,5.0,72.0
42.1,78.3,45.2,18.9,3.2,92.1,28.3,72.4,5.2,1012.8,8.0,16.0,2,0.0,4.0,128.0
31.5,58.7,35.8,14.2,2.5,81.3,24.1,61.9,9.7,1016.3,5.0,11.0,0,0.0,2.0,95.0
15.2,29.8,22.4,25.0,1.4,58.9,17.2,55.3,15.8,1020.1,2.0,7.0,3,0.0,1.0,58.0
38.9,72.1,41.3,16.7,2.9,88.7,26.7,68.5,6.4,1013.9,7.0,18.0,1,1.0,6.0,118.0
22.8,41.5,29.7,11.3,2.0,72.6,21.4,62.8,10.5,1017.2,4.0,12.0,2,0.0,3.0,78.0
48.6,89.2,52.1,21.4,3.8,98.3,30.1,75.6,4.1,1011.5,9.0,19.0,0,1.0,7.0,145.0
28.4,52.3,33.9,13.6,2.3,79.8,23.8,64.1,8.9,1015.8,6.0,13.0,1,0.0,4.0,92.0
35.7,66.8,39.2,15.8,2.7,85.4,25.9,67.3,7.2,1014.6,8.0,15.0,2,1.0,5.0,108.0
19.6,37.2,26.1,9.4,1.7,62.7,18.5,57.4,13.6,1019.3,3.0,8.0,3,0.0,2.0,65.0
41.3,76.9,43.8,17.5,3.1,90.6,27.6,70.8,5.8,1013.2,7.0,17.0,0,0.0,6.0,125.0
26.9,48.7,31.4,12.8,2.2,75.2,22.1,63.5,9.3,1016.7,5.0,10.0,1,1.0,3.0,88.0
33.2,61.4,36.7,14.9,2.6,83.1,24.7,65.9,8.1,1015.1,6.0,14.0,2,0.0,4.0,102.0
17.8,34.6,24.8,8.7,1.5,60.3,18.9,56.1,14.2,1018.9,2.0,6.0,3,0.0,1.0,61.0
44.5,82.7,47.6,19.8,3.5,94.8,29.4,73.2,4.7,1012.1,8.0,20.0,0,1.0,7.0,138.0
30.1,55.9,34.5,13.1,2.4,77.9,23.3,63.7,8.7,1016.4,5.0,12.0,1,0.0,3.0,96.0
37.8,70.3,40.1,16.2,2.8,87.5,26.2,68.9,6.8,1014.3,7.0,16.0,2,1.0,5.0,115.0
21.4,39.8,27.3,10.6,1.9,69.1,20.7,59.8,11.9,1017.8,4.0,9.0,3,0.0,2.0,74.0
46.2,85.4,49.8,20.6,3.6,96.2,28.8,74.5,4.3,1011.8,9.0,18.0,0,1.0,6.0,142.0
